[2020-01-28 16:22:33] [Info] Connect ogs.google.com:443
[2020-01-28 16:22:35] [Info] Direct connect www.gstatic.com:443
[2020-01-28 16:22:35] [Info] Connect apis.google.com:443
[2020-01-28 16:22:36] [Info] Connect play.google.com:443
[2020-01-28 16:23:06] [Info] Disconnect apis.google.com:443
[2020-01-28 16:23:21] [Info] Connect play.google.com:443
[2020-01-28 16:23:42] [Info] Connect clients1.google.com:443
[2020-01-28 16:24:09] [Debug] DNS query fail: connect.facebook.net
[2020-01-28 16:24:09] [Info] Connect connect.facebook.net:443
[2020-01-28 16:24:14] [Info] Connect connect.facebook.net:443
[2020-01-28 16:24:32] [Info] Disconnect s2.googleusercontent.com:443
[2020-01-28 16:24:34] [Debug] DNS query fail: www.facebook.com
[2020-01-28 16:24:34] [Info] Connect www.facebook.com:443
[2020-01-28 16:24:34] [Debug] DNS query fail: www.facebook.com
[2020-01-28 16:24:34] [Info] Connect www.facebook.com:443
[2020-01-28 16:24:35] [Info] Disconnect www.facebook.com:443
[2020-01-28 16:24:40] [Info] Connect scontent-lax3-1.xx.fbcdn.net:443
[2020-01-28 16:24:40] [Info] Connect scontent-lax3-2.xx.fbcdn.net:443
[2020-01-28 16:24:42] [Info] Disconnect ogs.google.com:443
[2020-01-28 16:24:55] [Info] Connect external-lax3-1.xx.fbcdn.net:443
[2020-01-28 16:25:19] [Info] Disconnect connect.facebook.net:443
[2020-01-28 16:25:21] [Info] Disconnect connect.facebook.net:443
[2020-01-28 16:25:23] [Info] Disconnect play.google.com:443
[2020-01-28 16:25:25] [Info] Disconnect play.google.com:443
[2020-01-28 16:25:28] [Info] Disconnect www.google.com:443
[2020-01-28 16:25:37] [Info] Disconnect www.google.com:443
[2020-01-28 16:25:47] [Info] Disconnect scontent-lax3-2.xx.fbcdn.net:443
[2020-01-28 16:26:02] [Info] Disconnect scontent-lax3-1.xx.fbcdn.net:443
[2020-01-28 16:26:08] [Info] Disconnect external-lax3-1.xx.fbcdn.net:443
[2020-01-28 16:26:09] [Info] Connect www.youtube.com:443
[2020-01-28 16:26:52] [Info] Disconnect www.facebook.com:443
[2020-01-28 16:27:58] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:28:14] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:30:37] [Info] Connect clients4.google.com:443
[2020-01-28 16:30:55] [Info] Connect www.google.com:443
[2020-01-28 16:30:55] [Info] Connect www.google.com:443
[2020-01-28 16:30:55] [Info] Connect www.google.com:443
[2020-01-28 16:30:55] [Info] Connect s2.googleusercontent.com:443
[2020-01-28 16:30:56] [Info] Connect www.google.com:443
[2020-01-28 16:30:56] [Info] Disconnect www.google.com:443
[2020-01-28 16:30:56] [Info] Disconnect www.google.com:443
[2020-01-28 16:30:57] [Info] Connect www.youtube.com:443
[2020-01-28 16:31:04] [Info] Connect clients1.google.com:443
[2020-01-28 16:31:40] [Info] Direct connect adservice.google.com:443
[2020-01-28 16:32:40] [Info] Disconnect clients4.google.com:443
[2020-01-28 16:32:40] [Info] Connect p4-eod4jxf67rspu-k36fljoyuspgjgb2-if-v6exp3-v4.metric.gstatic.com:443
[2020-01-28 16:32:53] [Info] Connect p4-eod4jxf67rspu-k36fljoyuspgjgb2-430997-i1-v6exp3.v4.metric.gstatic.com:443
[2020-01-28 16:32:53] [Info] Connect p4-eod4jxf67rspu-k36fljoyuspgjgb2-430997-i2-v6exp3.ds.metric.gstatic.com:443
[2020-01-28 16:32:55] [Info] Connect ajax.googleapis.com:443
[2020-01-28 16:32:58] [Info] Disconnect www.google.com:443
[2020-01-28 16:32:59] [Info] Disconnect s2.googleusercontent.com:443
[2020-01-28 16:33:01] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:33:08] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:33:16] [Info] Connect cse.google.com:443
[2020-01-28 16:33:22] [Info] Connect www.youtube.com:443
[2020-01-28 16:33:24] [Info] Connect p4-eod4jxf67rspu-k36fljoyuspgjgb2-430997-s1-v6exp3-v4.metric.gstatic.com:443
[2020-01-28 16:34:15] [Info] Connect google.com:443
[2020-01-28 16:34:15] [Info] Disconnect cse.google.com:443
[2020-01-28 16:34:42] [Info] Disconnect p4-eod4jxf67rspu-k36fljoyuspgjgb2-if-v6exp3-v4.metric.gstatic.com:443
[2020-01-28 16:34:52] [Info] Connect clients1.google.com:443
[2020-01-28 16:34:58] [Info] Disconnect p4-eod4jxf67rspu-k36fljoyuspgjgb2-430997-i1-v6exp3.v4.metric.gstatic.com:443
[2020-01-28 16:34:59] [Info] Disconnect p4-eod4jxf67rspu-k36fljoyuspgjgb2-430997-i2-v6exp3.ds.metric.gstatic.com:443
[2020-01-28 16:35:01] [Info] Disconnect ajax.googleapis.com:443
[2020-01-28 16:35:09] [Info] Disconnect www.google.com:443
[2020-01-28 16:35:25] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:35:31] [Info] Connect www.youtube.com:443
[2020-01-28 16:35:34] [Info] Disconnect p4-eod4jxf67rspu-k36fljoyuspgjgb2-430997-s1-v6exp3-v4.metric.gstatic.com:443
[2020-01-28 16:35:46] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:36:19] [Info] Disconnect google.com:443
[2020-01-28 16:36:28] [Info] Connect www.facebook.com:443
[2020-01-28 16:36:53] [Info] Connect i.ytimg.com:443
[2020-01-28 16:36:54] [Info] Connect i.ytimg.com:443
[2020-01-28 16:36:54] [Info] Connect i.ytimg.com:443
[2020-01-28 16:36:54] [Info] Connect i.ytimg.com:443
[2020-01-28 16:36:54] [Info] Connect i.ytimg.com:443
[2020-01-28 16:36:55] [Info] Disconnect i.ytimg.com:443
[2020-01-28 16:36:55] [Info] Disconnect i.ytimg.com:443
[2020-01-28 16:36:59] [Info] Connect www.youtube.com:443
[2020-01-28 16:36:59] [Info] Connect i.ytimg.com:443
[2020-01-28 16:37:00] [Info] Disconnect i.ytimg.com:443
[2020-01-28 16:37:01] [Info] Connect www.youtube.com:443
[2020-01-28 16:37:03] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:37:07] [Info] Connect youtube.com:443
[2020-01-28 16:37:07] [Info] Connect youtube.com:443
[2020-01-28 16:37:07] [Info] Connect youtube.com:443
[2020-01-28 16:37:07] [Info] Connect youtube.com:443
[2020-01-28 16:37:07] [Info] Connect youtube.com:443
[2020-01-28 16:37:07] [Info] Disconnect i.ytimg.com:443
[2020-01-28 16:37:07] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:37:08] [Info] Disconnect youtube.com:443
[2020-01-28 16:37:08] [Info] Disconnect youtube.com:443
[2020-01-28 16:37:08] [Info] Disconnect youtube.com:443
[2020-01-28 16:37:08] [Info] Disconnect youtube.com:443
[2020-01-28 16:37:13] [Info] Connect clients1.google.com:443
[2020-01-28 16:37:42] [Info] Connect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:37:42] [Info] Connect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:37:43] [Info] Connect i9.ytimg.com:443
[2020-01-28 16:37:46] [Info] Connect r6---sn-a5mlrnes.googlevideo.com:443
[2020-01-28 16:37:49] [Info] Connect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:38:04] [Info] Connect www.google.com:443
[2020-01-28 16:38:15] [Info] Connect google.com:443
[2020-01-28 16:38:18] [Info] Disconnect r6---sn-a5mlrnes.googlevideo.com:443
[2020-01-28 16:38:25] [Info] Disconnect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:38:26] [Info] Connect www.facebook.com:443
[2020-01-28 16:38:27] [Info] Disconnect www.facebook.com:443
[2020-01-28 16:38:27] [Info] Connect www.facebook.com:443
[2020-01-28 16:38:27] [Info] Disconnect www.facebook.com:443
[2020-01-28 16:38:52] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:38:56] [Info] Disconnect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:39:07] [Info] Connect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:39:09] [Info] Disconnect youtube.com:443
[2020-01-28 16:39:11] [Info] Connect r6---sn-a5mlrnes.googlevideo.com:443
[2020-01-28 16:39:12] [Info] Disconnect r6---sn-a5meknek.googlevideo.com:443
[2020-01-28 16:39:14] [Info] Connect r6---sn-a5mlrnes.googlevideo.com:443
[2020-01-28 16:39:14] [Info] Connect r6---sn-a5mlrnes.googlevideo.com:443
[2020-01-28 16:39:25] [Info] Disconnect r6---sn-a5meknek.googlevideo.com:443
