[2020-09-14 14:13:24] ShadowsocksR started on port 1080
[2020-09-14 14:13:33] [Error] System.IO.IOException: 文件“C:\Users\xiaotingting\Desktop\shadowsocksr\ShadowsocksR-win-4.9.0\temp\mgwz.dll”正由另一进程使用，因此该进程无法访问此文件。
   在 System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   在 System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   在 System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize)
   在 Shadowsocks.Controller.FileManager.UncompressFile(String fileName, Byte[] content)
   在 Shadowsocks.Controller.HttpProxyRunner..cctor()
[2020-09-14 19:43:14] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:43:14] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:45:15] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:45:15] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:47:16] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:47:16] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:49:18] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:49:18] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:51:19] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:51:19] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:53:21] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:53:21] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:55:22] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:55:22] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:57:23] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:57:23] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:57:48] [Info] Connect clients4.google.com:443
[2020-09-14 19:59:26] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:59:26] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:59:51] [Info] Disconnect clients4.google.com:443
[2020-09-14 20:01:27] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:01:27] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:03:28] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:03:28] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:05:29] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:05:29] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:07:30] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:07:30] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:08:26] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:08:27] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:10:28] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:10:28] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:12:29] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:12:29] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:14:30] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:14:30] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:16:31] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:16:31] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:18:32] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:18:32] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:20:34] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:20:34] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:22:38] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:22:38] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:22:43] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:24:44] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:24:44] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:26:46] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:26:46] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:27:48] [Info] Connect clients4.google.com:443
[2020-09-14 20:28:12] [Info] Disconnect clients4.google.com:443
[2020-09-14 20:28:50] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:28:50] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:28:55] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:30:56] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:30:56] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:32:58] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:32:58] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:33:12] [Info] Connect clients4.google.com:443
[2020-09-14 20:35:01] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:35:01] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:35:16] [Info] Disconnect clients4.google.com:443
[2020-09-14 20:37:02] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:37:02] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:39:03] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:39:03] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:41:05] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:41:05] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:43:08] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:43:08] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:45:23] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:45:23] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:47:25] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:47:25] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:49:26] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:49:26] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:51:28] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:51:28] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:53:29] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:53:29] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:53:34] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:55:36] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:55:36] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:57:38] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:57:38] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:57:43] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:57:48] [Info] Connect clients4.google.com:443
[2020-09-14 20:59:46] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 20:59:46] [Info] Connect mtalk.google.com:5228
[2020-09-14 20:59:50] [Info] Disconnect clients4.google.com:443
[2020-09-14 21:01:48] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:01:48] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:03:50] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:03:50] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:05:55] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:05:55] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:07:56] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:07:56] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:09:58] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:09:58] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:10:16] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:10:36] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:12:39] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:12:39] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:14:41] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:14:41] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:16:43] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:16:43] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:18:56] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:18:56] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:20:59] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:20:59] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:23:00] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:23:00] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:25:01] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:25:01] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:27:02] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 21:27:02] [Info] Connect mtalk.google.com:5228
[2020-09-14 21:27:48] [Info] Connect clients4.google.com:443
[2020-09-14 21:29:04] [Info] Disconnect mtalk.google.com:5228
